# ising_MCMC.py
# Initializing 2D ising system of size 4x4
# Will run at 2.300 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0          -6.000          -6.000               0
         1         -12.000         -14.000               5
         2         -14.000         -16.000               5
         3          -8.000          -8.000               9
         4         -14.000         -20.000               5
         5         -14.000         -18.000               8
         6         -16.000         -24.000               3
         7         -10.000         -12.000               3
         8          -8.000         -10.000               7
         9           0.000         -16.000               4
        10          -2.000          -8.000               5
        11           2.000          -2.000              10
        12          -6.000          -6.000              14
        13         -14.000         -18.000               4
        14         -14.000         -18.000               2
        15          -2.000          -4.000               8
        16           0.000          -6.000               9
        17           8.000         -10.000              12
        18           4.000          -6.000               6
        19          12.000         -12.000               8
        20          10.000         -10.000               7
        21           4.000          -4.000               9
        22          -6.000          -2.000              11
        23         -10.000         -10.000               4
        24         -14.000         -18.000               4
        25         -10.000         -12.000               2
        26         -10.000         -16.000               6
        27          -8.000         -16.000               5
        28          -6.000          -2.000               7
        29          -8.000          -8.000               7
        30          -6.000          -4.000               5
        31         -10.000         -10.000               8
        32         -16.000         -24.000               3
        33         -14.000         -18.000               1
        34         -16.000         -24.000               3
        35         -16.000         -24.000               0
        36         -16.000         -24.000               0
        37          -4.000          -4.000               8
        38           0.000          -8.000               8
        39           0.000          -6.000               8
        40           0.000         -16.000               2
        41          -4.000          -8.000               6
        42          -8.000         -12.000               6
        43         -16.000         -24.000               4
        44         -16.000         -24.000               0
        45         -16.000         -24.000               0
        46         -14.000         -18.000               1
        47         -12.000         -16.000               7
        48         -12.000         -16.000               2
        49         -14.000         -18.000               3
        50          -6.000         -10.000               4
        51         -16.000         -24.000               7
        52         -16.000         -24.000               0
        53         -16.000         -24.000               2
        54         -16.000         -24.000               0
        55         -14.000         -18.000               1
        56         -14.000         -20.000               2
        57         -16.000         -24.000               3
        58         -16.000         -24.000               0
        59         -16.000         -24.000               0
        60         -12.000         -10.000               2
        61         -14.000         -18.000               3
        62         -14.000         -18.000               0
        63         -14.000         -18.000               4
        64         -14.000         -18.000               2
        65          -6.000          -6.000               8
        66          -8.000         -10.000               7
        67          -8.000          -6.000              10
        68           0.000          -2.000              10
        69           0.000          -2.000              12
        70           8.000         -10.000              10
        71          10.000         -16.000               5
        72          14.000         -18.000               4
        73          14.000         -20.000               2
        74          16.000         -24.000               1
        75          16.000         -24.000               4
        76          16.000         -24.000               0
        77          14.000         -16.000               1
        78          14.000         -20.000               2
        79          14.000         -18.000               4
        80          16.000         -24.000               1
        81          16.000         -24.000               0
        82          16.000         -24.000               0
        83          14.000         -18.000               3
        84           8.000          -8.000               5
        85          14.000         -16.000               5
        86           2.000          -8.000               8
        87           0.000          -8.000               9
        88           4.000         -14.000               6
        89         -12.000         -16.000               8
        90         -12.000         -18.000               6
        91         -12.000         -12.000               4
        92           0.000          -8.000               8
        93           2.000          -8.000               5
        94           4.000          -8.000              13
        95          12.000         -14.000               4
        96          14.000         -18.000               5
        97           6.000          -8.000               6
        98           8.000         -12.000               5
        99           6.000           4.000               7
       100           2.000          -6.000              12
       101          -8.000          -8.000               9
       102         -12.000         -18.000               6
       103         -12.000         -14.000               8
       104          -8.000          -8.000               4
       105         -12.000         -10.000               6
       106         -12.000         -14.000               6
       107         -16.000         -24.000               4
       108         -16.000         -24.000               2
       109         -14.000         -20.000               1
       110         -16.000         -24.000               1
       111         -16.000         -24.000               0
       112         -16.000         -24.000               0
       113         -14.000         -18.000               3
       114         -14.000         -18.000               2
       115          -8.000         -10.000               3
       116          -8.000         -12.000              10
       117         -12.000         -18.000               2
       118         -16.000         -24.000               2
       119         -16.000         -24.000               2
       120         -16.000         -24.000               2
       121         -16.000         -24.000               0
       122         -14.000         -18.000               3
       123         -16.000         -24.000               1
       124         -16.000         -24.000               0
       125         -16.000         -24.000               0
       126         -10.000         -10.000               5
       127         -14.000         -18.000               4
       128         -14.000         -18.000               2
       129          -4.000          -2.000               5
       130           2.000           0.000              11
       131           6.000          -2.000               8
       132          12.000         -18.000               5
       133           4.000         -10.000               8
       134           0.000          -8.000               6
       135          -8.000         -16.000              10
       136         -10.000         -10.000               7
       137         -16.000         -24.000               5
       138         -14.000         -20.000               1
       139         -14.000         -20.000               4
       140          -4.000          -6.000               7
       141          -4.000         -12.000               6
       142          -8.000          -8.000               8
       143           2.000          -6.000              11
       144           0.000          -4.000               9
       145           0.000          -8.000              10
       146           4.000         -10.000               6
       147          14.000         -20.000               5
       148          16.000         -24.000               1
       149          14.000         -20.000               1
       150          16.000         -24.000               3
       151          16.000         -24.000               0
       152          16.000         -24.000               2
       153          14.000         -18.000               1
       154          10.000          -8.000               6
       155           0.000          -2.000               9
       156          -4.000          -4.000              14
       157         -10.000         -12.000               5
       158         -10.000         -14.000               6
       159         -12.000         -18.000               5
       160          -8.000         -10.000               6
       161         -12.000         -16.000               6
       162         -16.000         -24.000               4
       163         -14.000         -18.000               1
       164         -16.000         -24.000               1
       165         -14.000         -20.000               1
       166         -14.000         -20.000               2
       167         -16.000         -24.000               1
       168         -16.000         -24.000               0
       169         -16.000         -24.000               2
       170         -16.000         -24.000               2
       171         -12.000         -18.000               8
       172         -14.000         -18.000               5
       173         -14.000         -20.000               8
       174         -16.000         -24.000               3
       175         -16.000         -24.000               6
       176         -16.000         -24.000               0
       177         -16.000         -24.000               2
       178         -16.000         -24.000               0
       179         -14.000         -18.000               1
       180         -16.000         -24.000               3
       181         -12.000         -12.000               4
       182         -16.000         -24.000               4
       183         -14.000         -20.000               3
       184         -16.000         -24.000               1
       185         -16.000         -24.000               0
       186         -16.000         -24.000               0
       187         -14.000         -18.000               1
       188          -2.000          -4.000               8
       189           6.000          -8.000              10
       190          12.000         -16.000               5
       191           8.000         -12.000              10
       192           8.000         -12.000               8
       193          12.000         -12.000               6
       194          16.000         -24.000               6
       195          16.000         -24.000               0
       196          14.000         -20.000               3
       197          14.000         -18.000               2
       198          10.000         -14.000               4
       199          14.000         -20.000               8
       200          12.000         -14.000               9
       201          12.000         -16.000               2
       202          10.000         -14.000               5
       203          16.000         -24.000               3
       204          12.000         -14.000               6
       205           8.000         -16.000               6
       206           4.000         -14.000               4
       207           2.000         -12.000               3
       208           6.000          -4.000              12
       209          12.000         -16.000               3
       210          14.000         -18.000               7
       211          16.000         -24.000               1
       212          12.000         -18.000               2
       213          10.000         -12.000               7
       214          12.000         -18.000               3
       215          16.000         -24.000               2
       216          12.000         -14.000               4
       217          12.000         -18.000              10
       218          10.000         -16.000               3
       219          10.000         -14.000               4
       220           8.000         -12.000               7
       221           6.000         -14.000               5
       222           6.000         -14.000               6
       223          14.000         -18.000               8
       224           6.000          -6.000               6
       225          -2.000          -2.000              10
       226           2.000         -12.000              10
       227          -4.000         -10.000               5
       228          -8.000         -16.000               6
       229         -14.000         -18.000               3
       230         -14.000         -18.000               4
       231         -12.000         -12.000               3
       232         -14.000         -18.000               1
       233         -10.000         -14.000               4
       234          -2.000          -6.000               6
       235          -6.000          -6.000              10
       236          -6.000         -10.000               6
       237          -4.000          -4.000               5
       238           2.000          -6.000              11
       239           6.000          -4.000               8
       240          -2.000           0.000               6
       241           0.000          -6.000               9
       242           8.000         -10.000               8
       243           8.000         -16.000               4
       244           6.000          -8.000               9
       245          -2.000          -2.000              12
       246           0.000          -2.000              11
       247         -10.000         -10.000               5
       248         -10.000          -8.000               4
       249          -4.000           0.000               7
       250          -6.000          -8.000               9
       251         -10.000         -14.000               4
       252         -12.000         -18.000               5
       253         -12.000         -14.000               2
       254         -14.000         -18.000               1
       255         -14.000         -18.000               0
       256         -14.000         -18.000               2
       257         -16.000         -24.000               1
       258         -14.000         -18.000               1
       259         -12.000         -12.000               3
       260         -10.000          -6.000               5
       261          -6.000          -2.000               6
       262         -12.000         -18.000               5
       263          -8.000         -16.000               2
       264          -6.000         -10.000               7
       265          -4.000          -8.000               7
       266           4.000          -2.000               8
       267           8.000         -16.000              10
       268           8.000         -16.000               6
       269          10.000         -16.000               5
       270          14.000         -20.000               6
       271           6.000         -12.000               6
       272          12.000         -12.000               5
       273          12.000         -12.000               8
       274          16.000         -24.000               2
       275          14.000         -20.000               1
       276          12.000         -18.000               3
       277          12.000         -18.000               2
       278          14.000         -20.000               1
       279          12.000         -14.000               3
       280           4.000          -6.000               6
       281           8.000         -10.000               4
       282          12.000         -16.000               8
       283          12.000         -18.000               2
       284          16.000         -24.000               4
       285          10.000         -14.000               3
       286           8.000         -12.000               5
       287           2.000          -6.000              11
       288          -4.000           0.000              11
       289           6.000          -6.000               9
       290          10.000         -12.000              10
       291          14.000         -20.000               8
       292          16.000         -24.000               1
       293          14.000         -20.000               1
       294          16.000         -24.000               1
       295          10.000         -10.000               5
       296           8.000         -12.000               7
       297          10.000         -14.000               7
       298          14.000         -20.000               4
       299           6.000         -10.000               8
       300          12.000         -18.000               5
       301          10.000         -10.000               7
       302          10.000         -14.000               6
       303          16.000         -24.000               5
       304          16.000         -24.000               0
       305          16.000         -24.000               0
       306          16.000         -24.000               0
       307          10.000         -12.000               5
       308          12.000         -12.000               3
       309          12.000         -18.000               6
       310           6.000         -14.000               3
       311           6.000          -4.000               8
       312           6.000         -10.000               8
       313          -4.000          -6.000               9
       314         -10.000         -10.000               9
       315           2.000           0.000              10
       316           6.000          -8.000              12
       317          14.000         -20.000               6
       318           4.000         -12.000               5
       319           8.000          -6.000              12
       320          12.000         -12.000               6
       321          12.000         -18.000               8
       322          12.000         -18.000               4
       323          16.000         -24.000               2
       324          14.000         -16.000               1
       325          14.000         -18.000               4
       326          14.000         -16.000               4
       327          16.000         -24.000               1
       328          16.000         -24.000               0
       329          14.000         -20.000               1
       330          14.000         -16.000               2
       331          10.000         -14.000               2
       332           8.000         -14.000               3
       333           6.000         -10.000              11
       334           6.000         -10.000               6
       335          -2.000          -8.000               6
       336           2.000          10.000              12
       337          -6.000          -6.000              12
       338         -12.000         -14.000               7
       339         -12.000         -16.000               2
       340         -10.000         -14.000               7
       341         -14.000         -20.000               4
       342         -16.000         -24.000               7
       343         -14.000         -16.000               3
       344         -14.000         -18.000               2
       345          -8.000         -10.000               5
       346          -2.000          -4.000               7
       347          -8.000         -12.000              13
