# ising_MCMC.py
# Initializing 2D ising system of size 32x32
# Will run at 3.000 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0         -18.000         -20.000               0
         1         -80.000        -500.000             657
         2         -36.000        -670.000             564
         3          38.000        -772.000             519
         4          86.000        -828.000             482
         5          84.000        -882.000             437
         6         122.000        -934.000             435
         7         156.000        -918.000             431
         8         218.000        -884.000             437
         9         236.000        -876.000             449
        10         212.000        -882.000             452
        11         214.000        -818.000             493
        12         248.000        -810.000             441
        13         300.000        -896.000             456
        14         322.000        -954.000             449
        15         258.000        -946.000             394
        16         260.000        -920.000             431
        17         232.000        -906.000             402
        18         198.000        -860.000             459
        19         210.000        -864.000             404
        20         176.000        -918.000             455
        21         152.000        -812.000             462
        22         130.000        -816.000             473
        23         100.000        -782.000             469
        24          84.000        -740.000             488
        25         144.000        -798.000             490
        26         166.000        -794.000             465
        27         150.000        -790.000             498
        28         140.000        -892.000             459
        29         176.000        -882.000             456
        30         164.000        -778.000             462
        31          94.000        -772.000             483
        32          90.000        -806.000             504
        33          32.000        -828.000             485
        34          68.000        -764.000             500
        35          16.000        -714.000             542
        36         -26.000        -758.000             493
        37          16.000        -794.000             459
        38          14.000        -748.000             469
        39           6.000        -784.000             484
        40         -24.000        -804.000             479
        41         -66.000        -824.000             491
        42        -140.000        -834.000             463
        43        -108.000        -794.000             472
        44        -188.000        -816.000             468
        45        -170.000        -834.000             491
        46        -132.000        -884.000             461
        47         -88.000        -820.000             486
        48         -76.000        -726.000             494
        49        -120.000        -774.000             478
        50        -142.000        -790.000             499
        51        -110.000        -970.000             458
        52        -100.000        -868.000             447
        53         -86.000        -850.000             465
        54         -64.000        -782.000             497
        55         -14.000        -798.000             493
        56         -12.000        -730.000             475
        57          60.000        -818.000             484
        58          18.000        -948.000             455
        59          18.000        -846.000             454
        60         -10.000        -808.000             462
        61          40.000        -858.000             451
        62          60.000        -878.000             462
        63          84.000        -886.000             444
        64          48.000        -888.000             436
        65          72.000        -898.000             454
        66         100.000        -882.000             436
        67          46.000        -880.000             485
        68         -22.000        -814.000             470
        69         -10.000        -820.000             488
        70         -22.000        -708.000             476
        71         -12.000        -794.000             497
        72          38.000        -736.000             495
        73          42.000        -852.000             464
        74           8.000        -790.000             463
        75         -70.000        -838.000             493
        76          14.000        -840.000             464
        77          16.000        -954.000             459
        78          16.000        -894.000             416
        79         -16.000        -784.000             468
        80         -40.000        -880.000             444
        81         -56.000        -810.000             464
        82         -34.000        -838.000             481
        83           2.000        -844.000             446
        84          26.000        -786.000             464
        85           2.000        -776.000             476
        86          34.000        -774.000             488
        87         -56.000        -780.000             493
        88         -70.000        -808.000             467
        89         -42.000        -890.000             452
        90         -48.000        -794.000             471
        91          -8.000        -718.000             494
        92         122.000        -752.000             485
        93         162.000        -814.000             514
        94         100.000        -800.000             455
        95         120.000        -778.000             458
        96          78.000        -740.000             501
        97          20.000        -830.000             459
        98          72.000        -852.000             462
        99          40.000        -760.000             472
