# ising_MCMC.py
# Initializing 2D ising system of size 32x32
# Will run at 1.500 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0         -34.000          -4.000               0
         1          -8.000        -744.000             553
         2         -22.000       -1026.000             357
         3         -20.000       -1200.000             253
         4         -18.000       -1284.000             233
         5          -6.000       -1338.000             224
         6         -40.000       -1394.000             169
         7         -66.000       -1412.000             185
         8         -66.000       -1432.000             156
         9         -64.000       -1504.000             159
        10         -56.000       -1512.000             134
        11         -40.000       -1494.000             134
        12         -38.000       -1508.000             129
        13         -26.000       -1528.000             134
        14         -20.000       -1560.000             127
        15           6.000       -1546.000             113
        16          -2.000       -1580.000             132
        17           6.000       -1564.000             130
        18         -38.000       -1564.000             126
        19         -20.000       -1548.000             145
        20         -16.000       -1578.000             110
        21          -8.000       -1598.000             126
        22          -6.000       -1658.000             111
        23         -20.000       -1654.000              99
        24         -32.000       -1660.000             100
        25         -32.000       -1672.000             106
        26         -80.000       -1650.000              96
        27         -72.000       -1624.000             120
        28         -82.000       -1594.000             109
        29         -56.000       -1604.000             123
        30         -68.000       -1618.000             122
        31         -74.000       -1648.000              99
        32         -30.000       -1698.000              86
        33          -6.000       -1700.000              78
        34         -32.000       -1640.000              99
        35         -26.000       -1636.000             107
        36         -16.000       -1642.000             107
        37          16.000       -1676.000              90
        38          20.000       -1656.000              98
        39           0.000       -1664.000              80
        40         -16.000       -1682.000              90
        41          18.000       -1686.000              87
        42          12.000       -1658.000             103
        43          32.000       -1684.000              96
        44          34.000       -1668.000             113
        45          78.000       -1672.000              96
        46          78.000       -1696.000              78
        47          84.000       -1710.000             111
        48          74.000       -1658.000              91
        49          94.000       -1688.000              74
        50          78.000       -1680.000              86
        51          62.000       -1692.000              96
        52          98.000       -1676.000              86
        53          92.000       -1658.000              87
        54         128.000       -1678.000             112
        55         146.000       -1690.000              97
        56         116.000       -1696.000              99
        57         144.000       -1686.000              80
        58         132.000       -1666.000              80
        59         100.000       -1660.000              84
        60          84.000       -1678.000             114
        61          94.000       -1688.000             101
        62          96.000       -1664.000              97
        63         106.000       -1692.000              89
        64         156.000       -1638.000             103
        65         198.000       -1654.000              83
        66         206.000       -1642.000             106
        67         182.000       -1668.000             124
        68         168.000       -1672.000             115
        69         180.000       -1676.000             102
        70         204.000       -1704.000              88
        71         178.000       -1668.000              97
        72         160.000       -1706.000              85
        73         130.000       -1684.000              87
        74         130.000       -1678.000              80
        75         114.000       -1700.000             102
        76         102.000       -1698.000              90
        77         112.000       -1712.000              91
        78         110.000       -1710.000              71
        79         102.000       -1706.000              62
        80         102.000       -1678.000              84
        81          98.000       -1676.000              88
        82         136.000       -1672.000              91
        83         102.000       -1654.000              93
        84          88.000       -1644.000              85
        85          70.000       -1670.000              95
        86          78.000       -1688.000              76
        87          86.000       -1682.000              80
        88          60.000       -1698.000              79
        89          56.000       -1698.000              72
        90          66.000       -1676.000              79
        91          60.000       -1700.000              77
        92          66.000       -1692.000              69
        93          94.000       -1720.000              72
        94          86.000       -1734.000              74
        95          80.000       -1722.000              85
        96          96.000       -1690.000              70
        97          88.000       -1698.000              90
        98         106.000       -1702.000              93
        99          82.000       -1670.000              84
       100          88.000       -1702.000              77
       101         106.000       -1676.000              99
       102         100.000       -1666.000             101
       103          92.000       -1668.000              82
       104          86.000       -1676.000              93
       105         122.000       -1722.000              80
       106         142.000       -1702.000              88
       107         124.000       -1704.000              85
       108         154.000       -1712.000              61
       109         180.000       -1678.000              83
       110         216.000       -1638.000             108
       111         238.000       -1666.000             119
       112         244.000       -1632.000              99
       113         272.000       -1698.000             104
       114         272.000       -1726.000              88
       115         270.000       -1710.000              73
       116         280.000       -1706.000              85
       117         272.000       -1676.000              82
       118         290.000       -1676.000              81
       119         292.000       -1662.000              93
       120         302.000       -1694.000              99
       121         288.000       -1650.000             105
       122         340.000       -1650.000              92
       123         372.000       -1672.000             104
       124         394.000       -1658.000              99
       125         388.000       -1676.000              93
       126         412.000       -1710.000              90
       127         424.000       -1762.000              66
       128         434.000       -1776.000              63
       129         436.000       -1758.000              65
       130         424.000       -1700.000              78
       131         416.000       -1694.000              80
       132         436.000       -1704.000              88
       133         450.000       -1716.000              83
       134         440.000       -1712.000              69
       135         502.000       -1744.000              95
       136         506.000       -1738.000              60
       137         480.000       -1718.000              71
       138         484.000       -1748.000              54
       139         492.000       -1760.000              62
       140         492.000       -1742.000              64
       141         508.000       -1774.000              72
       142         534.000       -1772.000              73
       143         528.000       -1778.000              53
       144         560.000       -1814.000              54
       145         574.000       -1798.000              53
       146         538.000       -1812.000              80
       147         532.000       -1802.000              51
       148         530.000       -1786.000              53
       149         518.000       -1764.000              62
       150         560.000       -1778.000              51
       151         558.000       -1750.000              65
       152         580.000       -1798.000              65
       153         578.000       -1798.000              49
       154         608.000       -1804.000              45
       155         588.000       -1786.000              48
       156         600.000       -1800.000              54
       157         584.000       -1766.000              60
       158         580.000       -1790.000              54
       159         564.000       -1778.000              64
       160         556.000       -1768.000              72
       161         538.000       -1744.000              75
       162         544.000       -1746.000              67
       163         558.000       -1750.000              67
       164         560.000       -1768.000              61
       165         578.000       -1766.000              75
       166         570.000       -1760.000              66
       167         582.000       -1748.000              66
       168         610.000       -1764.000              58
       169         598.000       -1760.000              58
       170         602.000       -1786.000              62
       171         558.000       -1768.000              68
       172         556.000       -1750.000              69
       173         554.000       -1736.000              67
       174         546.000       -1748.000              64
       175         548.000       -1756.000              71
       176         548.000       -1768.000              58
       177         554.000       -1768.000              51
       178         574.000       -1784.000              76
       179         546.000       -1794.000              54
       180         532.000       -1800.000              53
       181         530.000       -1770.000              67
       182         518.000       -1772.000              50
       183         522.000       -1778.000              60
       184         560.000       -1778.000              79
       185         550.000       -1774.000              55
       186         564.000       -1752.000              53
       187         568.000       -1758.000              74
       188         570.000       -1786.000              63
       189         532.000       -1792.000              67
       190         522.000       -1778.000              51
       191         520.000       -1784.000              57
       192         562.000       -1794.000              61
       193         592.000       -1808.000              57
       194         602.000       -1792.000              61
       195         614.000       -1814.000              46
       196         640.000       -1788.000              57
       197         630.000       -1788.000              59
       198         612.000       -1752.000              75
       199         618.000       -1746.000              57
       200         626.000       -1796.000              66
       201         644.000       -1790.000              59
       202         640.000       -1802.000              54
       203         646.000       -1760.000              61
       204         660.000       -1786.000              71
       205         652.000       -1818.000              58
       206         642.000       -1830.000              41
       207         662.000       -1824.000              46
       208         668.000       -1774.000              51
       209         664.000       -1828.000              54
       210         660.000       -1804.000              42
       211         674.000       -1830.000              43
       212         646.000       -1830.000              44
       213         644.000       -1816.000              51
       214         654.000       -1738.000              55
       215         668.000       -1782.000              83
       216         660.000       -1788.000              50
       217         672.000       -1824.000              52
       218         668.000       -1816.000              60
       219         686.000       -1840.000              47
       220         690.000       -1834.000              50
       221         708.000       -1822.000              57
       222         728.000       -1830.000              42
       223         742.000       -1852.000              43
       224         750.000       -1856.000              36
       225         754.000       -1812.000              50
       226         752.000       -1834.000              67
       227         762.000       -1834.000              51
       228         762.000       -1824.000              42
       229         760.000       -1798.000              59
       230         788.000       -1826.000              52
       231         792.000       -1852.000              46
       232         778.000       -1826.000              57
       233         778.000       -1812.000              54
       234         772.000       -1820.000              47
       235         786.000       -1830.000              39
       236         768.000       -1806.000              51
       237         780.000       -1808.000              58
       238         772.000       -1786.000              52
       239         778.000       -1836.000              33
       240         808.000       -1852.000              49
       241         816.000       -1840.000              60
       242         822.000       -1812.000              49
       243         822.000       -1806.000              62
       244         818.000       -1846.000              44
       245         838.000       -1876.000              52
       246         840.000       -1856.000              45
       247         844.000       -1860.000              36
       248         832.000       -1860.000              36
       249         832.000       -1818.000              52
       250         830.000       -1812.000              47
       251         848.000       -1826.000              63
       252         850.000       -1828.000              53
       253         864.000       -1896.000              37
       254         848.000       -1870.000              42
       255         862.000       -1888.000              41
       256         838.000       -1838.000              42
       257         818.000       -1814.000              54
       258         844.000       -1876.000              43
       259         840.000       -1858.000              44
       260         846.000       -1846.000              41
       261         844.000       -1832.000              57
       262         864.000       -1844.000              44
       263         854.000       -1856.000              43
       264         856.000       -1872.000              39
       265         850.000       -1860.000              35
       266         856.000       -1852.000              45
       267         844.000       -1838.000              50
       268         850.000       -1830.000              59
       269         842.000       -1826.000              40
       270         854.000       -1854.000              42
       271         864.000       -1882.000              41
       272         868.000       -1884.000              30
       273         852.000       -1812.000              40
       274         846.000       -1824.000              49
       275         854.000       -1830.000              60
       276         868.000       -1848.000              53
       277         864.000       -1828.000              58
       278         876.000       -1834.000              32
       279         854.000       -1804.000              49
       280         864.000       -1840.000              43
       281         854.000       -1872.000              33
       282         852.000       -1866.000              31
       283         852.000       -1862.000              34
       284         854.000       -1850.000              29
       285         852.000       -1868.000              33
       286         844.000       -1834.000              32
       287         842.000       -1846.000              45
       288         844.000       -1836.000              45
       289         850.000       -1848.000              27
       290         816.000       -1834.000              53
       291         824.000       -1814.000              50
       292         844.000       -1822.000              54
       293         868.000       -1828.000              58
       294         896.000       -1898.000              40
       295         888.000       -1880.000              26
       296         892.000       -1872.000              34
       297         894.000       -1856.000              33
       298         902.000       -1864.000              30
       299         922.000       -1880.000              28
       300         918.000       -1864.000              26
       301         916.000       -1854.000              41
       302         910.000       -1848.000              45
       303         902.000       -1864.000              44
       304         896.000       -1844.000              39
       305         924.000       -1892.000              38
       306         922.000       -1860.000              37
       307         934.000       -1850.000              50
       308         950.000       -1908.000              32
       309         956.000       -1902.000              27
       310         952.000       -1886.000              34
       311         954.000       -1884.000              35
       312         950.000       -1876.000              22
       313         968.000       -1904.000              31
       314         978.000       -1916.000              29
       315         984.000       -1908.000              21
