# ising_MCMC.py
# Initializing 2D ising system of size 8x8
# Will run at 1.500 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0           0.000           2.000               0
         1           4.000         -30.000              28
         2           0.000         -48.000              20
         3           0.000         -54.000              22
         4          -8.000         -56.000              20
         5          -2.000         -64.000              17
         6           8.000         -64.000              17
         7          10.000         -68.000              15
         8          12.000         -74.000              21
         9          12.000         -72.000              16
        10           2.000         -64.000              13
        11          -2.000         -62.000              16
        12         -16.000         -66.000              17
        13         -26.000         -70.000              17
        14         -32.000         -74.000              11
        15         -40.000         -70.000              20
        16         -52.000         -82.000              14
        17         -60.000         -98.000               6
        18         -58.000         -96.000               3
        19         -62.000        -104.000               4
        20         -62.000        -104.000               2
        21         -64.000        -112.000               1
        22         -64.000        -112.000               2
        23         -64.000        -112.000               0
        24         -64.000        -112.000               0
        25         -60.000        -106.000               2
        26         -62.000        -106.000               3
        27         -64.000        -112.000               3
        28         -60.000         -98.000               2
        29         -56.000         -86.000               2
        30         -60.000        -106.000               8
        31         -60.000        -102.000               4
        32         -62.000        -108.000               1
        33         -60.000        -104.000               3
        34         -54.000         -94.000               3
        35         -62.000        -106.000               6
        36         -60.000        -102.000               1
        37         -58.000         -98.000               1
        38         -58.000        -102.000               2
        39         -52.000         -94.000               3
        40         -58.000         -96.000               7
        41         -56.000         -94.000               3
        42         -52.000         -86.000               6
        43         -54.000         -88.000               5
        44         -54.000         -92.000               8
        45         -56.000         -88.000               5
        46         -60.000        -100.000               4
        47         -54.000        -100.000               5
        48         -56.000        -100.000               7
        49         -58.000        -100.000               5
        50         -62.000        -108.000               2
        51         -58.000         -98.000               4
        52         -56.000         -90.000               7
        53         -54.000         -90.000               1
        54         -62.000        -108.000               6
        55         -64.000        -112.000               1
        56         -60.000        -104.000               2
        57         -62.000        -104.000               3
        58         -62.000        -108.000               8
        59         -58.000        -102.000               2
        60         -52.000         -94.000               7
        61         -52.000         -96.000               4
        62         -54.000         -98.000              11
        63         -58.000        -102.000              10
        64         -56.000         -96.000               7
        65         -56.000         -96.000               4
        66         -58.000         -98.000               5
        67         -58.000         -98.000               2
        68         -58.000        -102.000               2
        69         -50.000         -88.000               6
        70         -56.000         -92.000               5
        71         -60.000        -104.000               6
        72         -62.000        -106.000               3
        73         -60.000        -102.000               5
        74         -62.000        -106.000               1
        75         -64.000        -112.000               1
        76         -64.000        -112.000               2
        77         -64.000        -112.000               0
        78         -64.000        -112.000               0
