# ising_MCMC.py
# Initializing 2D ising system of size 4x4
# Will run at 2.600 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0          -8.000          -8.000               0
         1         -12.000         -18.000               8
         2         -14.000         -20.000               3
         3         -14.000         -18.000               4
         4         -12.000         -10.000               9
         5         -14.000         -16.000               7
         6          -6.000          -2.000               8
         7          -6.000          -6.000              10
         8          -6.000          -6.000              10
         9          -4.000          -2.000               7
        10           0.000         -10.000              14
        11           4.000           0.000               8
        12           0.000           0.000               8
        13           4.000          -6.000              12
        14           6.000          -6.000               9
        15           6.000           0.000              10
        16           8.000         -12.000               7
        17          12.000         -18.000               2
        18          12.000         -18.000               2
        19          10.000         -14.000               7
        20           8.000          -6.000               7
        21           2.000          -2.000               9
        22           8.000          -6.000              13
        23           8.000          -6.000               6
        24           4.000         -10.000               8
        25          -4.000         -10.000              12
        26         -10.000         -10.000               7
        27         -14.000         -18.000               6
        28         -16.000         -24.000               5
        29          -8.000         -10.000               4
        30         -16.000         -24.000               6
        31         -16.000         -24.000               2
        32         -16.000         -24.000               0
        33         -12.000         -14.000               4
        34         -14.000         -16.000               7
        35         -16.000         -24.000               3
        36         -12.000         -14.000               2
        37         -10.000          -8.000               9
        38         -10.000         -12.000               6
        39         -16.000         -24.000               7
        40         -14.000         -18.000               1
        41         -14.000         -18.000               6
        42         -16.000         -24.000               1
        43         -16.000         -24.000               4
        44         -16.000         -24.000               0
        45         -12.000         -12.000               4
        46         -10.000         -12.000               7
        47         -12.000         -16.000               3
        48          -4.000         -14.000               8
        49          -6.000          -2.000               9
        50          -4.000          -8.000               9
        51           0.000           0.000               8
        52           2.000          -8.000              11
        53          14.000         -20.000               8
        54          14.000         -20.000               4
        55          16.000         -24.000               1
        56          12.000         -14.000               2
        57           8.000         -10.000               6
        58          14.000         -16.000               7
        59          10.000         -14.000               4
        60          12.000         -18.000               3
        61          10.000         -14.000               5
        62           2.000          -6.000              10
        63           4.000          -6.000               9
        64           8.000         -10.000               8
        65          10.000         -12.000               5
        66          10.000         -16.000               4
        67          14.000         -20.000               2
        68          16.000         -24.000               1
        69          12.000         -16.000               4
        70          10.000         -14.000               7
        71          10.000          -6.000              14
        72          16.000         -24.000               3
        73          12.000         -16.000               4
        74          12.000         -18.000               2
        75           4.000           2.000               8
        76           0.000          -8.000               8
        77          -6.000         -12.000               7
        78          -2.000         -12.000               6
        79          -4.000          -8.000               7
        80          -6.000         -10.000               7
        81           0.000          -8.000               7
        82           6.000          -8.000               7
        83          12.000         -18.000               7
        84          12.000         -10.000               2
        85          12.000         -18.000               4
        86          12.000         -12.000               4
        87          10.000         -14.000               9
        88          16.000         -24.000               3
        89          14.000         -20.000               3
        90          16.000         -24.000               3
        91          16.000         -24.000               2
        92          14.000         -20.000               1
        93          14.000         -20.000               4
        94          14.000         -20.000               0
        95          10.000         -14.000               4
        96          16.000         -24.000               3
        97          16.000         -24.000               0
        98          12.000         -12.000               2
        99          10.000          -8.000               3
       100          12.000         -10.000               7
       101          16.000         -24.000               2
       102          16.000         -24.000               0
       103          16.000         -24.000               4
       104          16.000         -24.000               0
       105          14.000         -16.000               1
       106           8.000         -10.000               5
       107           0.000          -8.000               8
       108          -6.000          -4.000              11
       109         -10.000          -8.000              10
       110         -10.000         -12.000               4
       111         -12.000         -12.000               5
       112         -10.000         -16.000               3
       113         -10.000         -14.000               4
       114          -6.000          -8.000               6
       115          12.000         -16.000               9
       116           8.000         -10.000               4
       117          14.000         -18.000               5
       118          14.000         -20.000               6
       119           6.000         -10.000               4
       120          -2.000          -8.000               8
       121           0.000          -8.000               9
       122           2.000          -8.000               9
       123          -6.000         -14.000               8
       124         -16.000         -24.000               9
       125          -6.000          -6.000               7
       126          -6.000          -8.000               6
       127           2.000         -14.000              12
       128           4.000          -8.000               9
       129          -2.000          -2.000              11
       130          -6.000          -8.000               8
       131          -8.000          -8.000               7
       132           0.000          -4.000               8
       133          10.000          -8.000              11
       134          10.000          -6.000               6
       135          14.000         -18.000               6
       136           6.000         -12.000               4
       137           8.000         -16.000               5
       138           2.000         -12.000               7
       139           0.000         -10.000               7
       140           2.000         -12.000               7
       141           6.000         -12.000              12
       142          10.000         -10.000               4
       143           4.000          -8.000               9
       144           8.000          -4.000               8
       145           0.000          -4.000               8
