# ising_MCMC.py
# Initializing 2D ising system of size 8x8
# Will run at 3.000 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0          -6.000           6.000               0
         1          -2.000         -24.000              34
         2          -8.000         -36.000              39
         3           8.000         -32.000              42
         4          -2.000         -26.000              33
         5          32.000         -46.000              37
         6          26.000         -36.000              27
         7          22.000         -30.000              32
         8          34.000         -56.000              24
         9          24.000         -38.000              39
        10          30.000         -46.000              33
        11          42.000         -52.000              34
        12          48.000         -66.000              25
        13          40.000         -64.000              16
        14          38.000         -58.000              19
        15          32.000         -64.000              23
        16          30.000         -60.000              27
        17          28.000         -48.000              29
        18          36.000         -52.000              24
        19          36.000         -70.000              24
        20          28.000         -50.000              26
        21          24.000         -28.000              22
        22          26.000         -30.000              29
        23          24.000         -36.000              29
        24          28.000         -50.000              38
        25          40.000         -58.000              28
        26          24.000         -52.000              32
        27          30.000         -56.000              25
        28          18.000         -38.000              34
        29          20.000         -60.000              37
        30           2.000         -44.000              25
        31          10.000         -50.000              30
        32          12.000         -58.000              25
        33          24.000         -58.000              24
        34          32.000         -72.000              22
        35          34.000         -50.000              29
        36          34.000         -56.000              26
        37          38.000         -60.000              28
        38          38.000         -38.000              18
        39          16.000         -30.000              37
        40           4.000         -30.000              38
        41           2.000         -18.000              39
        42         -20.000         -50.000              45
        43         -30.000         -38.000              35
        44          -4.000         -14.000              39
        45         -26.000         -38.000              39
        46         -32.000         -46.000              33
        47         -44.000         -72.000              16
        48         -42.000         -62.000              19
        49         -20.000         -38.000              31
        50          -4.000         -38.000              38
        51           2.000         -46.000              35
        52          12.000         -50.000              29
        53          10.000         -40.000              37
        54           6.000         -54.000              32
        55         -10.000         -42.000              34
        56           0.000         -34.000              33
        57           6.000         -44.000              39
        58          12.000         -54.000              31
        59          20.000         -50.000              26
        60          12.000         -36.000              30
        61           2.000         -52.000              35
        62          -4.000         -54.000              33
        63          14.000         -48.000              33
        64          32.000         -48.000              29
        65          32.000         -28.000              34
        66          20.000         -24.000              36
        67           8.000         -26.000              40
        68          20.000         -36.000              30
        69           8.000         -38.000              36
        70          -4.000         -36.000              38
        71          -8.000         -28.000              36
        72         -10.000         -40.000              41
        73           6.000         -48.000              34
        74           4.000         -34.000              41
        75           0.000         -42.000              38
        76          -4.000         -48.000              34
        77           8.000         -50.000              30
        78           0.000         -40.000              34
        79          12.000         -34.000              38
        80          14.000         -44.000              25
        81          24.000         -48.000              31
        82          20.000         -58.000              32
        83           2.000         -26.000              29
        84           0.000         -18.000              35
        85           6.000         -32.000              39
        86           2.000         -34.000              34
        87           2.000         -54.000              36
        88           8.000         -42.000              27
        89          14.000         -26.000              35
        90           2.000         -22.000              40
        91          -2.000         -32.000              36
        92         -16.000         -38.000              37
        93         -22.000         -48.000              39
        94         -26.000         -60.000              28
        95         -24.000         -68.000              21
        96          -6.000         -52.000              33
        97         -10.000         -46.000              30
        98         -10.000         -54.000              32
        99         -12.000         -36.000              31
       100           8.000         -42.000              36
       101          34.000         -60.000              31
       102          32.000         -58.000              25
       103          28.000         -50.000              32
       104          16.000         -40.000              32
       105          28.000         -38.000              34
       106          16.000         -20.000              44
       107          12.000         -36.000              38
       108          20.000         -30.000              42
       109           8.000         -50.000              36
       110           6.000         -36.000              35
       111           4.000         -24.000              31
       112         -14.000         -14.000              35
       113         -20.000         -14.000              41
       114           4.000         -22.000              38
       115          32.000         -44.000              40
       116          16.000         -28.000              32
       117           6.000         -34.000              39
       118          12.000         -24.000              39
       119          18.000         -56.000              31
       120          16.000         -38.000              29
       121          18.000         -42.000              31
       122           2.000          -4.000              40
       123           6.000         -22.000              40
       124           6.000         -20.000              42
       125           0.000         -22.000              35
       126          -6.000         -24.000              35
       127           8.000         -38.000              41
       128          10.000         -34.000              35
       129          28.000         -66.000              33
       130           4.000         -60.000              22
       131           6.000         -22.000              29
       132           0.000         -36.000              39
       133          16.000         -32.000              42
       134          16.000         -30.000              30
       135          20.000         -20.000              36
       136           6.000         -30.000              37
       137           8.000         -32.000              37
       138          12.000         -20.000              34
       139          10.000         -36.000              35
       140          -2.000         -22.000              36
       141         -10.000         -24.000              46
       142          -4.000         -30.000              43
       143           2.000         -26.000              37
       144           4.000         -38.000              37
       145           8.000         -30.000              46
       146           8.000         -44.000              42
       147          16.000         -56.000              28
       148          18.000         -42.000              23
       149          18.000         -28.000              36
       150          20.000         -32.000              43
       151          30.000         -32.000              35
       152          28.000         -38.000              29
       153          22.000         -36.000              29
       154          28.000         -30.000              33
       155          32.000         -40.000              30
       156          46.000         -70.000              23
       157          34.000         -42.000              22
       158          52.000         -74.000              33
       159          46.000         -62.000              17
       160          30.000         -44.000              22
       161          36.000         -60.000              17
       162          24.000         -44.000              22
       163          28.000         -34.000              30
       164          22.000         -38.000              33
       165          22.000         -50.000              28
       166           8.000         -26.000              39
       167          -6.000         -30.000              33
       168          -8.000         -42.000              35
       169         -10.000         -48.000              25
       170          -4.000         -62.000              27
       171         -18.000         -42.000              35
       172         -34.000         -52.000              30
       173         -24.000         -32.000              31
       174         -32.000         -54.000              28
       175         -26.000         -36.000              29
       176         -32.000         -42.000              35
       177         -16.000         -34.000              26
       178          -8.000         -46.000              32
       179          10.000         -48.000              31
       180          12.000         -68.000              21
       181          10.000         -48.000              17
       182          12.000         -20.000              33
       183          36.000         -50.000              32
       184          36.000         -66.000              28
       185          26.000         -38.000              21
       186          28.000         -48.000              25
       187           8.000         -36.000              24
       188           4.000         -30.000              34
       189           2.000         -28.000              43
       190          24.000         -24.000              37
       191          24.000         -38.000              40
       192          42.000         -70.000              31
       193          32.000         -52.000              27
       194          16.000         -24.000              30
       195          14.000         -30.000              35
       196          26.000         -38.000              30
       197          20.000         -26.000              39
       198          34.000         -58.000              31
       199          20.000         -62.000              37
       200          12.000         -68.000              26
       201          18.000         -48.000              35
       202           2.000         -30.000              36
       203          24.000         -30.000              37
       204          32.000         -44.000              32
       205          26.000         -20.000              45
       206          14.000         -34.000              42
       207           8.000         -16.000              35
       208          24.000         -36.000              30
       209          28.000         -56.000              28
       210          32.000         -60.000              36
       211          26.000         -36.000              33
       212          34.000         -46.000              24
       213          30.000         -48.000              26
       214          12.000         -36.000              33
       215           4.000         -42.000              40
       216          16.000         -34.000              34
       217           6.000         -38.000              31
       218           6.000         -48.000              32
       219           2.000         -36.000              34
       220          24.000         -36.000              37
       221          18.000         -48.000              27
       222          18.000         -48.000              28
       223          22.000         -38.000              34
       224          42.000         -70.000              26
       225          32.000         -56.000              21
       226          30.000         -46.000              23
       227          22.000         -34.000              32
       228           6.000         -26.000              40
       229          14.000         -48.000              30
       230          24.000         -30.000              37
       231          28.000         -50.000              26
       232          38.000         -60.000              31
       233          42.000         -60.000              24
       234          12.000         -18.000              31
       235           0.000         -24.000              40
       236          20.000         -22.000              38
       237          14.000         -30.000              45
       238           4.000         -44.000              33
       239         -10.000         -38.000              35
       240         -10.000         -36.000              24
